Gene_combination	cell_line	condition	Class_label_sum	Correlation_dep	Class_label_dep	Label_Agreement	Correlation_corr	Class_label_corr	Class_label_exp
SPIN3_SPIN4	A375	2CP	GI	0.0071464219307637	no GI	Disagree	0.1722271913044253	no GI	no GI
SPIN3_SPIN4	A375	2CP	GI	0.0071464219307637	no GI	Disagree	0.1722271913044253	no GI	no GI
SPIRE1_SPIRE2	A375	2CP	no GI	-0.0028370771814531	no GI	Agree	0.2197389983675694	no GI	no GI
SPIRE1_SPIRE2	A375	2CP	no GI	-0.0028370771814531	no GI	Agree	0.2197389983675694	no GI	no GI
SPNS1_SPNS2	A375	2CP	no GI	-0.0118080695385585	no GI	Agree	0.0036098884118133	no GI	no GI
SPNS1_SPNS2	A375	2CP	no GI	-0.0118080695385585	no GI	Agree	0.0036098884118133	no GI	no GI
SPOP_SPOPL	A375	2CP	no GI	0.1559905410807684	no GI	Agree	0.3145281739050517	no GI	GI
SPOP_SPOPL	A375	2CP	no GI	0.1559905410807684	no GI	Agree	0.3145281739050517	no GI	GI
SPPL2A_SPPL2B	A375	2CP	no GI	0.0854354806503039	no GI	Agree	-0.0284882535558576	no GI	no GI
SPPL2A_SPPL2B	A375	2CP	no GI	0.0854354806503039	no GI	Agree	-0.0284882535558576	no GI	no GI
SPRED1_SPRED2	A375	2CP	no GI	0.3336027915553436	GI	Disagree	0.5181413622118446	no GI	no GI
SPRED1_SPRED2	A375	2CP	no GI	0.3336027915553436	GI	Disagree	0.5181413622118446	no GI	no GI
SPRY1_SPRY2	A375	2CP	no GI	0.0747806382610589	no GI	Agree	0.4170426084096279	no GI	no GI
SPRY1_SPRY2	A375	2CP	no GI	0.0747806382610589	no GI	Agree	0.4170426084096279	no GI	no GI
SPRY1_SPRY4	A375	2CP	no GI	0.0775635761954677	no GI	Agree	0.4427916072396543	no GI	no GI
SPRY1_SPRY4	A375	2CP	no GI	0.0775635761954677	no GI	Agree	0.4427916072396543	no GI	no GI
SPRY2_SPRY4	A375	2CP	no GI	0.1550840375139398	no GI	Agree	0.623969773232804	GI	no GI
SPRY2_SPRY4	A375	2CP	no GI	0.1550840375139398	no GI	Agree	0.623969773232804	GI	no GI
SPSB1_SPSB2	A375	2CP	no GI	0.0715194852115823	no GI	Agree	0.2771988682290645	no GI	no GI
SPSB1_SPSB2	A375	2CP	no GI	0.0715194852115823	no GI	Agree	0.2771988682290645	no GI	no GI
SPTBN1_SPTBN2	A375	2CP	no GI	0.0941437770166693	no GI	Agree	0.0340026029009642	no GI	no GI
SPTBN1_SPTBN2	A375	2CP	no GI	0.0941437770166693	no GI	Agree	0.0340026029009642	no GI	no GI
SRC_YES1	A375	2CP	no GI	0.09432482774582	no GI	Agree	0.4410087566685878	no GI	no GI
SRC_YES1	A375	2CP	no GI	0.09432482774582	no GI	Agree	0.4410087566685878	no GI	no GI
SREBF1_SREBF2	A375	2CP	no GI	0.0552010980601826	no GI	Agree	0.3115321183742012	no GI	no GI
